find,replace
Chabahil Plaza_New Year 2k76 Promotion ,Chabahil Plaza_New Year 2k76 Promotion
City Centre_Winter Mascot@2020 ,City Centre_Winter Mascot@2020
Dishhome_Mall Activation,Dishhome_Mall_Activation_2077
Echo- Ad_Knoor Soup Sampling_2077,Echo- Ad_Soup& Coffee Sampling_2077
Echo-Ad_Hospital Daiper Activation @ 2076,Echo_Hospitaldaiper_Activation
Eduhub_Hospital Research (Hunting),Eduhub_Hospital Research
One up_Kangaroo Flyer (Premises),One up_(Ecan+Kangaroo+The Next) Education Fair (Flyer+Volunteer)
Yamaha_Research 7 places,Yamaha_Research 7 places Phase I
CG/LG_Dashain Mall Activation (Outside Valley),CG/LG_Dashain Mall Activation (outside Valley)
Chabel Plaza,Chabel Plaza_Dashain Carnival
EN-Mascot,EN_Mascots
Echo-Ad_Hospital Daiper Activation @ 2076,Echo_Hospitaldaiper_Activation
Eduhub_Hospital Research (Hunting),Eduhub_Hospital Research
NCHL-Merchant enrollment campagin,NCHL_Merchant Enrollement Campaign Jan-2020
One up_Kangaroo Flyer (Premises),One up_(Ecan+Kangaroo+The Next) Education Fair (Flyer+Volunteer)
TVS_Bike Tagging and Riding,TVS_Bike Tagging and riding
Yamaha Activation,Yamaha_Dashain&TiharCampaign_PhaseI
Yamaha Dashain and tihar phase 1,Yamaha_Dashain&TiharCampaign_PhaseI
Yamaha_Helmet Sticker,Yamaha_helmet sticker
Yamaha_Research 7 places,Yamaha_Research 7 places Phase I
